luminex	ensembl.gene	uniprot
Chitinase3like1	NA	NA
CXCL16	ENSG00000161921	Q9H2A7
CXCL2	ENSG00000081041	P19875
IL6	ENSG00000136244	P05231
IL17F	ENSG00000112116	Q96PD4
CCL8	ENSG00000108700	P80075
IL2	ENSG00000109471	P60568
TNFb	ENSHHUG00000042251	NA
CCL25	ENSG00000131142	O15444
IL32	ENSG00000008517	P24001
CCL11	ENSG00000172156	P51671
IL26	ENSG00000111536	Q9NPH9
IL23	ENSECAG00000022310	Q64FU1
CXCL10	ENSG00000169245	P02778
IL1a	ENSG00000115008	P01583
sIL6Rb	NA	NA
sTNFR2	NA	NA
CCL23	NA	P55773
IL11	ENSG00000095752	P20809
CCL1	ENSG00000108702	P22362
CCL27	ENSG00000213927	Q9Y4X3
IL18	ENSG00000150782	Q14116
CXCL11	ENSG00000169248	O14625
LIF	ENSG00000128342	P15018
Pentraxin3	NA	NA
CCL13	ENSG00000181374	Q99616
IL2Ra	ENSG00000134460	P01589
IL1b	ENSG00000125538	P01584
BAFF	ENSG00000102524	Q9Y275
CXCL6	ENSG00000124875	P80162
TNFa	NA	NA
SCGFb	NA	NA
CXCL13	ENSG00000156234	O43927
CCL15	NA	Q16663
VEGF	NA	NA
sCD163	NA	NA
IL3	ENSG00000164399	P08700
IL19	ENSG00000142224	Q9UHD0
IL8	ENSSSAG00000006498	NA
CX3CL1	ENSG00000006210	P78423
CCL17	ENSG00000102970	Q92583
MIF	NA	P14174
IFNb	ENSG00000171855	P01574
MMP1	ENSG00000196611	P03956
CCL21	ENSG00000137077	O00585
IFNa2	ENSG00000188379	P01563
RANTES	NA	P13501
CCL3	NA	P10147
MMP2	ENSG00000087245	P08253
IL12p40	NA	P43432
IL5	ENSG00000113525	P05113
CCL24	ENSG00000106178	O00175
MMP3	ENSG00000149968	P08254
bNGF	NA	NA
CXCL5	ENSG00000163735	P42830
CCL2	ENSG00000108691	P13500
APRIL	NA	NA
sTNFR1	NA	NA
CCL7	ENSG00000108688	P80098
CXCL12	ENSG00000107562	P48061
CCL19	ENSG00000172724	Q99731
MIP1a	NA	NA
sIL6Ra	NA	NA
IL20	ENSG00000162891	Q9NYY1
IL33	ENSG00000137033	O95760
GMCSF	ENSG00000164400	P04141
CCL26	ENSG00000006606	Q9Y258
IL28A	ENSG00000183709	Q8IZJ0
IL17A	ENSG00000112115	Q16552
TWEAK	ENSSSCG00070021596	NA
IL22	ENSG00000127318	Q9GZX6
IL10	ENSG00000136634	P22301
IL31	ENSG00000204671	Q6EBC2
CCL20	ENSG00000115009	P78556
CXCL9	ENSG00000138755	Q07325
HGF	ENSG00000019991	P14210
IL15	ENSG00000164136	P40933
IL35	NA	NA
IL13	ENSG00000169194	P35225
IFNg	ENSG00000111537	P01579
CXCL1	ENSG00000163739	P09341
SCF	NA	NA
IL29	NA	NA
IL4	ENSG00000113520	P05112
MCSF	ENSG00000184371	P09603
Osteopontin	NA	NA
IL16	ENSG00000172349	Q14005
LIGHT	CLEC001928	NA
IL9	ENSG00000145839	P15248
TSLP	ENSG00000145777	Q969D9
sCD30	NA	NA
IL1ra	ENSG00000115594	P14778
MIP1b	NA	NA
IL25	ENSG00000166090	Q9H293
IL27p28	ENSG00000197272	Q8NEV9
GCSF	ENSG00000108342	P09919
TRAIL	ENSSSCG00070022401	NA
IL12p70	NA	NA
PDGFBB	NA	NA
IL34	ENSG00000157368	Q6ZMJ4
IL7	ENSG00000104432	P13232
Osteocalcin	NA	NA
FGFbasic	NA	NA
CCL22	ENSG00000102962	O00626
IL21	ENSG00000138684	Q9HBE4
