# object_property	uri	domain	range
has bioassay type	http://www.bioassayontology.org/bao#BAO_0002854	measurement datum	assay
part of	http://purl.obolibrary.org/obo/BFO_0000050	healthcare facility,protein,organ	person,institute
conforms to	http://purl.org/dc/terms/conformsTo	assay	protocol
denotes	http://purl.obolibrary.org/obo/IAO_0000219	Clinical_ID,Beat_COVID_ID,identifier	role,patient role
was informed by	http://www.w3.org/ns/prov#wasInformedBy	assay,medical procedure	sampling,assay
located in	http://purl.obolibrary.org/obo/RO_0001025	patient role	institute,healthcare facility
starts during	http://purl.obolibrary.org/obo/RO_0002091	sampling	order
has attribute	http://semanticscience.org/resource/SIO_000008	assay,patient role,medical procedure,sampling	date,age
is attribute of	http://semanticscience.org/resource/SIO_000011	realizable entity	person
has participant	http://semanticscience.org/resource/SIO_000132	assay	device
has agent	http://semanticscience.org/resource/SIO_000139	assay,sampling,medical procedure	agent
has measurement value	http://semanticscience.org/resource/SIO_000216	protein	measurement datum
has quality	http://semanticscience.org/resource/SIO_000217	person	phenotype
has unit	http://semanticscience.org/resource/SIO_000221	measurement datum	measurement unit label
has role	http://semanticscience.org/resource/SIO_000228	person	role,patient role
has output	http://semanticscience.org/resource/SIO_000229	assay,sampling,medical procedure	measurement datum,sample,realizable entity
has input	http://semanticscience.org/resource/SIO_000230	assay,sampling,medical procedure	measurement datum,patient role,person
has target	http://semanticscience.org/resource/SIO_000291	assay,sampling,medical procedure	protein,person,material entity,organ
is realized in	http://semanticscience.org/resource/SIO_000356	role,patient role	assay,sampling,medical procedure
refers to	http://semanticscience.org/resource/SIO_000628	measurement datum,medical procedure,assay,realizable entity	Beat_COVID_ID,Clinical_ID,phenotype,protein,organ
is base for	http://semanticscience.org/resource/SIO_000642	phenotype	realizable entity
is identifier for	http://semanticscience.org/resource/SIO_000672	Record_ID,identifier	sample
measured at	http://semanticscience.org/resource/SIO_000793	measurement datum	date
is associated with	http://semanticscience.org/resource/SIO_001403	realizable entity	always,real,unsupported,positive,negative,never
is encoded by	http://semanticscience.org/resource/SIO_010079	protein	gene

# data property	uri	domain	range
date	http://purl.org/dc/terms/date	sample,realizable entity	xsd:dateTime
identifier	http://purl.org/dc/terms/identifier	rdfs:Literal	
label	http://www.w3.org/2000/01/rdf-schema#label	xsd:string
has value	http://semanticscience.org/resource/SIO_000300	measurement datum,sample	rdfs:Literal,owl:real




